2019-07-09 08:54:12.455 [main] INFO  SapformServiceApplication - No active profile set, falling back to default profiles: default
2019-07-09 08:54:12.475 [main] INFO  AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@76c7beb3: startup date [Tue Jul 09 08:54:12 GMT+08:00 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@4efac082
2019-07-09 08:54:25.656 [main] INFO  RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-07-09 08:54:26.266 [main] INFO  GenericScope - BeanFactory id=9dcf4447-021c-327f-870d-61a4bb3bda54
2019-07-09 08:54:26.296 [main] INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-07-09 08:54:26.386 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.permission.api.service.LoginUserRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.396 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.ApiLogRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.396 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.BaseGridConfFeignService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.396 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.OperationLogRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.576 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$ca79914e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.786 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$138bc76c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:26.836 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e693944b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-09 08:54:27.881 [main] INFO  TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8081 (http)
2019-07-09 08:54:27.911 [main] INFO  Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2019-07-09 08:54:27.941 [main] INFO  StandardService - Starting service [Tomcat]
2019-07-09 08:54:27.941 [main] INFO  StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.29
2019-07-09 08:54:28.051 [localhost-startStop-1] INFO  [/] - Initializing Spring embedded WebApplicationContext
2019-07-09 08:54:28.051 [localhost-startStop-1] INFO  ContextLoader - Root WebApplicationContext: initialization completed in 15576 ms
2019-07-09 08:54:28.471 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
2019-07-09 08:54:28.471 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-07-09 08:54:28.471 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-07-09 08:54:28.471 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
