2019-07-11 09:12:32.901 [main] INFO  SapformServiceApplication - No active profile set, falling back to default profiles: default
2019-07-11 09:12:32.932 [main] INFO  AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@63716833: startup date [Thu Jul 11 09:12:32 GMT+08:00 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7a48e6e2
2019-07-11 09:12:46.296 [main] INFO  RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-07-11 09:12:46.866 [main] INFO  GenericScope - BeanFactory id=b2f5795c-957e-35ed-a8c2-83978e7f53d9
2019-07-11 09:12:46.898 [main] INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-07-11 09:12:46.986 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.permission.api.service.LoginUserRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:46.991 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.ApiLogRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:46.991 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.BaseGridConfFeignService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:46.991 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.bgy.ofa.operationsupport.api.service.OperationLogRemoteService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:47.157 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7d9a8f4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:47.381 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$50ebdf12] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:47.471 [main] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$23f3abf1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-11 09:12:48.017 [main] INFO  TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8081 (http)
2019-07-11 09:12:48.041 [main] INFO  Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2019-07-11 09:12:48.056 [main] INFO  StandardService - Starting service [Tomcat]
2019-07-11 09:12:48.056 [main] INFO  StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.29
2019-07-11 09:12:48.161 [localhost-startStop-1] INFO  [/] - Initializing Spring embedded WebApplicationContext
2019-07-11 09:12:48.161 [localhost-startStop-1] INFO  ContextLoader - Root WebApplicationContext: initialization completed in 15229 ms
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'EKPSSOClientFilter' to urls: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'EKPSSOClientAuthenticationFilter' to urls: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2019-07-11 09:12:48.621 [localhost-startStop-1] INFO  ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2019-07-11 09:12:50.138 [main] INFO  DruidConfig - 数据库连接池加载中··············
